# Link Utilization Monitor
# Format: time: <timestamp_ns>
# node_id port_id tx_bytes_total tx_throughput_Gbps tx_util_percent
time: 2000000000
time: 2000100000
0 1 0 0.0000 0.00
1 1 626820 50.1456 100.00
2 1 626820 50.1456 100.00
3 1 23880 1.9104 1.91
4 1 24360 1.9488 3.90
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 1214548 97.1638 97.16
9 2 20820 1.6656 3.33
9 3 21840 1.7472 3.49
10 1 44340 3.5472 3.55
10 2 587728 47.0182 47.02
10 3 587728 47.0182 47.02
10 4 0 0.0000 0.00
11 1 23520 1.8816 1.88
11 2 567508 45.4006 90.80
12 1 23040 1.8432 1.84
12 2 555376 44.4301 44.43
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2000200000
0 1 0 0.0000 0.00
1 1 1253640 50.1456 100.00
2 1 1253640 50.1456 100.00
3 1 51780 2.2320 2.23
4 1 52260 2.2320 4.46
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 2468188 100.2912 100.00
9 2 48720 2.2320 4.46
9 3 49740 2.2320 4.46
10 1 100140 4.4640 4.46
10 2 1214548 50.1456 50.15
10 3 1214548 50.1456 50.15
10 4 0 0.0000 0.00
11 1 51420 2.2320 2.23
11 2 1194328 50.1456 100.00
12 1 50940 2.2320 2.23
12 2 1183544 50.2534 50.25
12 3 0 0.0000 0.00
12 4 0 0.0000 0.00
12 5 0 0.0000 0.00
12 6 0 0.0000 0.00
12 7 0 0.0000 0.00
13 1 0 0.0000 0.00
time: 2000300000
0 1 0 0.0000 0.00
1 1 1880460 50.1456 100.00
2 1 1880460 50.1456 100.00
3 1 79680 2.2320 2.23
4 1 80160 2.2320 4.46
5 1 0 0.0000 0.00
6 1 0 0.0000 0.00
7 1 0 0.0000 0.00
8 1 0 0.0000 0.00
9 1 3721828 100.2912 100.00
9 2 76620 2.2320 4.46
9 3 77700 2.2368 4.47
10 1 156000 4.4688 4.47
10 2 1841368 50.1456 50.15
10 3 1841368 50.1456 50.15
10 4 0 0.0000 0.00
11 1 79380 2.2368 2.24
11 2 1821148 50.1456 100.00
