Time_ns,QueueLength,Event
2083,0,Enqu
2083,0,Dequ
2166,0,Enqu
2249,1048,Enqu
2250,1048,Dequ
2332,1048,Enqu
2415,2096,Enqu
2417,2096,Dequ
2498,2096,Enqu
2581,3144,Enqu
2584,3144,Dequ
2664,3144,Enqu
2747,4192,Enqu
2751,4192,Dequ
2830,4192,Enqu
2913,5240,Enqu
2918,5240,Dequ
2996,5240,Enqu
3079,6288,Enqu
3085,6288,Dequ
3162,6288,Enqu
3245,7336,Enqu
3252,7336,Dequ
3328,7336,Enqu
3411,8384,Enqu
3419,8384,Dequ
3494,8384,Enqu
3577,9432,Enqu
3586,9432,Dequ
3660,9432,Enqu
3743,10480,Enqu
3753,10480,Dequ
3826,10480,Enqu
3909,11528,Enqu
3920,11528,Dequ
3992,11528,Enqu
4075,12576,Enqu
4087,12576,Dequ
4158,12576,Enqu
4241,13624,Enqu
4254,13624,Dequ
4324,13624,Enqu
4407,14672,Enqu
4421,14672,Dequ
4490,14672,Enqu
4573,15720,Enqu
4588,15720,Dequ
4656,15720,Enqu
4739,16768,Enqu
4755,16768,Dequ
4822,16768,Enqu
4905,17816,Enqu
4922,17816,Dequ
4988,17816,Enqu
5071,18864,Enqu
5089,18864,Dequ
5154,18864,Enqu
5237,19912,Enqu
5256,19912,Dequ
5320,19912,Enqu
5403,20960,Enqu
5423,20960,Dequ
5486,20960,Enqu
5569,22008,Enqu
5590,22008,Dequ
5652,22008,Enqu
5735,23056,Enqu
5757,23056,Dequ
5818,23056,Enqu
5901,24104,Enqu
5924,24104,Dequ
5984,24104,Enqu
6067,25152,Enqu
6091,25152,Dequ
6150,25152,Enqu
6233,26200,Enqu
6258,26200,Dequ
6259,0,Recv
6316,26200,Enqu
6399,27248,Enqu
6425,27248,Dequ
6426,0,Recv
6482,27248,Enqu
6565,28296,Enqu
6592,28296,Dequ
6593,0,Recv
6648,28296,Enqu
6731,29344,Enqu
6759,29344,Dequ
6760,0,Recv
6814,29344,Enqu
6897,30392,Enqu
6926,30392,Dequ
6927,0,Recv
6980,30392,Enqu
7063,31440,Enqu
7093,31440,Dequ
7094,0,Recv
7146,31440,Enqu
7229,32488,Enqu
7260,32488,Dequ
7261,0,Recv
7312,32488,Enqu
7395,33536,Enqu
7427,33536,Dequ
7428,0,Recv
7478,33536,Enqu
7561,34584,Enqu
7594,34584,Dequ
7595,0,Recv
7644,34584,Enqu
7727,35632,Enqu
7761,35632,Dequ
7762,0,Recv
7810,35632,Enqu
7893,36680,Enqu
7928,36680,Dequ
7929,0,Recv
7976,36680,Enqu
8059,37728,Enqu
8095,37728,Dequ
8096,0,Recv
8142,37728,Enqu
8225,38776,Enqu
8262,38776,Dequ
8263,0,Recv
8308,38776,Enqu
8391,39824,Enqu
8429,39824,Dequ
8430,0,Recv
8474,39824,Enqu
8557,40872,Enqu
8596,40872,Dequ
8597,0,Recv
8640,40872,Enqu
8723,41920,Enqu
8763,41920,Dequ
8764,0,Recv
8806,41920,Enqu
8889,42968,Enqu
8930,42968,Dequ
8931,0,Recv
8972,42968,Enqu
9055,44016,Enqu
9097,44016,Dequ
9098,0,Recv
9138,44016,Enqu
9221,45064,Enqu
9264,45064,Dequ
9265,0,Recv
9304,45064,Enqu
9387,46112,Enqu
9431,46112,Dequ
9432,0,Recv
9470,46112,Enqu
9553,47160,Enqu
9598,47160,Dequ
9599,0,Recv
9636,47160,Enqu
9719,48208,Enqu
9765,48208,Dequ
9766,0,Recv
9802,48208,Enqu
9885,49256,Enqu
9932,49256,Dequ
9933,0,Recv
9968,49256,Enqu
10051,50304,Enqu
10099,50304,Dequ
10100,0,Recv
10134,50304,Enqu
10217,51352,Enqu
10266,51352,Dequ
10267,0,Recv
10300,51352,Enqu
10383,52400,Enqu
10433,52400,Dequ
10434,0,Recv
10466,52400,Enqu
10549,53448,Enqu
10600,53448,Dequ
10601,0,Recv
10632,53448,Enqu
10715,54496,Enqu
10767,54496,Dequ
10768,0,Recv
10798,54496,Enqu
10881,55544,Enqu
10934,55544,Dequ
10935,0,Recv
10964,55544,Enqu
11047,56592,Enqu
11101,56592,Dequ
11102,0,Recv
11130,56592,Enqu
11213,57640,Enqu
11268,57640,Dequ
11269,0,Recv
