node,port,avg_qlen_bytes,max_qlen_bytes,min_qlen_bytes,std_qlen_bytes,p50_qlen_bytes,p95_qlen_bytes,p99_qlen_bytes,samples
0,1,0.0,0,0,0.0,0.0,0.0,0.0,6026
1,1,0.0,0,0,0.0,0.0,0.0,0.0,1822
2,1,0.0,0,0,0.0,0.0,0.0,0.0,1822
3,1,0.0,0,0,0.0,0.0,0.0,0.0,1822
4,1,0.0,0,0,0.0,0.0,0.0,0.0,1822
6,1,0.0,0,0,0.0,0.0,0.0,0.0,9052
6,6,153349.39393939395,439112,0,168425.34858624922,10480.0,386712.0,423392.0,19800
6,2,0.0,0,0,0.0,0.0,0.0,0.0,2744
6,3,0.0,0,0,0.0,0.0,0.0,0.0,2744
6,4,0.0,0,0,0.0,0.0,0.0,0.0,2744
6,5,0.0,0,0,0.0,0.0,0.0,0.0,2744
5,1,0.0,0,0,0.0,0.0,0.0,0.0,19800
